Date,DBC,EEM,EFA,EWZ,SHY,TLT,TQQQ,UPRO,UVXY
2012-04-27,28.41,42.2,53.75,60.26,84.45,117.3,114.49,82.77,13.42
2012-04-30,28.41,42.49,53.97,60.6,84.44,116.43,115.14,84.33,12.57
2012-05-01,28.04,42.4,53.57,60.31,84.44,117.27,115.9,83.67,12.79
2012-05-02,27.73,42.1,53.08,60.03,84.45,117.23,112.3,81.83,13.34
2012-05-03,27.24,41.35,52.27,58.59,84.46,118.14,104.06,77.8,14.56
2012-05-04,27.18,41.51,52.65,58.85,84.46,118.16,104.21,77.91,14.07
2012-05-07,27.07,40.84,51.86,57.64,84.46,118.79,102.99,76.99,14.35
2012-05-08,26.87,40.29,51.25,56.75,84.46,118.87,102.5,75.65,15.43
2012-05-09,26.88,40.49,51.48,57.1,84.45,118.51,101.43,76.04,14.45
2012-05-10,26.68,39.96,51.17,56.54,84.46,119.48,50.73,75.34,14.84
2012-05-11,26.33,39.05,50.18,54.24,84.46,121.17,49.27,72.91,16.56
2012-05-14,26.38,38.72,49.55,53.2,84.44,121.66,48.84,71.64,18.17
2012-05-15,26.35,38.17,49.02,53.11,84.42,122.01,47.78,70.81,19.42
2012-05-16,26.29,37.65,48.46,51.56,84.4,124.15,44.84,67.52,21.26
2012-05-17,26.27,37.29,48.13,51.54,84.4,124.2,43.04,65.85,24.07
2012-05-18,26.62,38.19,49.17,52.61,84.41,123.95,46.66,69.24,18.58
2012-05-21,26.24,37.78,48.99,51.15,84.38,122.57,46.49,69.38,19.89
2012-05-22,25.95,37.52,48.59,51.22,84.41,123.36,46.75,69.67,19.26
2012-05-23,25.96,37.33,48.27,51.12,84.39,122.94,45.91,70.15,19.52
2012-05-24,26.05,37.15,48.1,52.13,84.43,123.38,45.63,69.44,19.1
2012-05-25,25.94,38.2,48.71,52.66,84.42,123.02,47.32,71.97,17.26
2012-05-29,25.46,37.52,47.56,51.54,84.46,126.1,46.21,68.8,19.54
2012-05-30,25.24,37.7,47.76,52.04,84.48,127.58,45.62,68.54,20.04
2012-05-31,24.72,36.68,46.55,50.74,84.46,130.31,41.96,63.22,23.47
2012-06-01,24.86,36.85,46.95,50.61,84.46,129.34,42.86,63.2,21.54
2012-06-04,24.77,36.89,47.23,50.82,84.47,127.63,43.45,64.42,20.65
2012-06-05,25.23,38.05,48.58,52.04,84.44,125.09,46.42,68.98,17.65
2012-06-06,25.06,38.26,48.67,52.79,84.43,125.24,45.9,68.95,17.22
2012-06-07,25.14,37.91,48.51,52.04,84.43,125.18,47.24,70.63,15.41
2012-06-08,24.68,37.37,48.01,50.82,84.43,125.77,44.99,68.01,17.85
2012-06-11,24.79,38.17,48.85,51.58,84.38,124.65,46.41,70.42,17.21
2012-06-12,24.61,38.01,48.44,51.6,84.39,125.88,45.5,68.89,18.9
2012-06-13,24.9,38.3,48.82,51.83,84.38,125.7,46.01,71.18,16.63
2012-06-14,24.86,38.99,49.48,52.44,84.42,126.39,47.7,73.22,15.18
2012-06-15,24.88,39.09,49.36,52.58,84.41,127.09,48.94,73.67,12.64
2012-06-18,25.09,39.73,50.18,54.5,84.4,125.43,50.55,75.82,12.05
2012-06-19,24.68,39.57,50.47,54.1,84.36,126.04,50.72,75.44,11.07
2012-06-20,24.15,37.65,48.04,51.17,84.37,126.66,46.93,70.39,13.43
2012-06-21,24.39,37.81,48.49,50.77,84.38,125.04,48.37,71.99,10.69
2012-06-22,24.64,37.07,47.36,49.35,84.38,126.84,45.5,68.48,12.59
2012-06-25,24.81,37.41,47.68,49.44,84.36,126.35,46.43,69.59,11.85
2012-06-26,24.95,37.65,48.11,49.31,84.36,126.53,47.25,71.51,12.05
2012-06-27,24.68,37.47,48.22,49.07,84.37,126.84,45.55,70.84,11.3
2012-06-28,25.75,39.19,49.96,51.8,84.38,125.21,50.0,76.23,9.83
2012-06-29,25.7,39.13,50.28,52.57,84.36,126.21,50.4,76.73,8.56
2012-07-02,26.42,39.91,50.75,53.4,84.36,125.28,51.6,78.33,8.18
2012-07-03,26.52,39.49,49.91,53.24,84.38,125.89,51.78,77.23,8.72
2012-07-05,25.91,38.76,49.44,52.17,84.41,127.02,49.74,75.04,8.57
2012-07-06,26.37,38.64,49.33,51.77,84.42,128.16,49.57,74.81,8.4
2012-07-09,26.03,38.2,49.03,50.91,84.41,128.44,48.05,72.83,8.84
2012-07-10,26.32,38.4,49.15,50.79,84.43,128.58,47.39,72.8,8.25
2012-07-11,26.38,37.76,48.7,50.43,84.44,129.47,46.02,71.86,8.41
2012-07-12,26.7,38.49,49.34,51.31,84.46,129.19,48.02,75.4,7.52
2012-07-13,27.03,38.41,49.34,51.04,84.5,129.78,47.66,74.77,7.27
2012-07-16,27.06,38.91,49.48,51.57,84.48,128.78,48.38,76.38,6.74
2012-07-17,27.3,38.81,49.87,51.92,84.5,128.82,50.36,78.12,6.88
2012-07-18,27.63,39.18,50.34,52.68,84.52,128.46,52.0,78.65,6.57
2012-07-19,27.63,38.59,49.17,51.76,84.54,130.02,50.05,76.58,7.27
2012-07-20,27.05,37.56,48.14,50.35,84.54,130.78,48.15,74.18,8.18
2012-07-23,26.88,37.42,47.62,50.09,84.53,131.81,47.05,72.36,8.87
2012-07-24,27.09,37.61,47.88,50.03,84.53,132.14,46.0,72.3,8.67
2012-07-25,27.14,38.45,49.32,51.59,84.53,130.91,47.55,75.85,7.35
2012-07-26,27.42,39.54,50.39,53.56,84.48,128.53,51.42,80.17,6.9
2012-07-27,27.58,39.3,50.31,53.48,84.51,129.42,51.11,80.01,7.19
2012-07-30,27.25,39.12,50.0,52.45,84.53,129.69,51.14,78.83,7.57
2012-07-31,27.29,39.19,50.01,52.65,84.49,128.82,50.64,78.21,7.25
2012-08-01,27.06,38.73,49.31,51.98,84.49,129.5,50.13,76.57,6.95
2012-08-02,27.52,39.94,50.99,53.48,84.47,127.42,52.96,81.11,6.01
2012-08-03,27.68,40.18,51.35,54.21,84.48,127.47,54.15,81.51,5.73
2012-08-06,27.89,40.29,51.82,54.25,84.45,125.85,55.49,82.74,6.03
2012-08-07,27.97,40.37,51.75,55.01,84.4,125.19,55.4,83.1,5.53
2012-08-08,28.2,40.54,51.78,55.0,84.41,125.08,55.87,83.35,5.48
2012-08-09,28.05,40.74,51.87,55.49,84.44,125.68,56.06,83.76,5.26
2012-08-10,27.83,40.35,51.62,55.09,84.43,125.49,56.4,83.51,4.99
2012-08-13,27.86,40.36,51.74,54.31,84.42,123.79,56.52,83.65,5.54
2012-08-14,28.1,40.31,51.59,54.55,84.39,122.07,56.92,83.87,5.55
2012-08-15,28.21,40.67,52.22,55.5,84.38,121.02,58.96,85.71,5.33
2012-08-16,28.25,40.45,52.3,55.37,84.4,121.6,59.77,86.14,5.02
2012-08-17,28.38,40.45,52.24,55.38,84.4,121.84,60.0,86.14,5.03
2012-08-20,28.64,40.39,52.54,54.84,84.39,122.38,59.31,85.34,5.3
2012-08-21,28.79,40.41,52.48,55.04,84.44,124.39,59.95,85.34,5.39
2012-08-22,28.65,40.04,52.18,54.17,84.44,124.93,58.62,83.35,5.61
2012-08-23,28.52,40.05,52.1,54.25,84.44,124.84,59.66,84.88,5.14
2012-08-24,28.39,39.64,52.13,53.71,84.45,125.51,59.95,84.88,5.24
2012-08-27,28.41,39.56,52.08,53.58,84.44,125.82,59.94,84.62,5.41
2012-08-28,28.46,39.36,51.92,52.71,84.45,125.3,59.96,84.79,5.46
2012-08-29,28.49,38.91,51.15,52.33,84.46,125.92,58.13,82.96,5.69
2012-08-30,28.79,39.28,51.6,52.72,84.51,127.65,59.37,84.06,5.32
2012-08-31,28.8,39.07,51.34,51.76,84.48,127.33,59.12,83.66,5.23
2012-09-04,28.66,38.86,51.2,52.25,84.48,126.73,58.85,83.69,4.96
2012-09-05,28.65,39.78,52.46,53.78,84.44,124.61,62.74,88.72,3.95
2012-09-06,28.97,40.64,53.26,55.28,84.45,124.03,62.47,89.9,34.87
2012-09-07,29.01,40.12,52.84,54.09,84.45,124.31,60.15,88.34,38.76
