Date,BSV,SQQQ,TECL,TQQQ,UPRO,UVXY
2013-10-04,80.31,20.63,65.51,89.49,71.61,41.26
2013-10-07,80.23,21.79,62.33,84.37,69.04,45.0
2013-10-08,80.28,22.04,63.32,83.44,69.16,42.07
2013-10-09,80.28,20.66,66.32,88.74,73.69,33.78
2013-10-10,80.29,20.15,67.88,90.74,75.07,32.53
2013-10-11,80.28,19.71,68.85,92.65,76.05,33.2
2013-10-14,80.24,19.94,67.64,91.63,74.25,37.22
2013-10-15,80.33,19.25,69.45,94.76,77.35,28.86
2013-10-16,80.48,18.95,69.42,96.29,79.0,25.62
2013-10-17,80.46,18.03,73.0,101.07,80.4,25.11
2013-10-18,80.43,17.92,74.28,101.63,80.6,25.28
2013-10-21,80.56,17.86,74.13,101.98,81.92,25.52
2013-10-22,80.54,18.13,73.13,100.34,80.81,25.85
2013-10-23,80.53,17.9,73.58,101.59,81.58,25.02
2013-10-24,80.54,17.54,74.75,103.59,82.61,24.95
2013-10-25,80.51,17.51,75.45,103.83,82.99,25.18
2013-10-28,80.57,17.43,76.84,104.37,84.49,24.87
2013-10-29,80.56,17.49,76.28,104.0,83.13,25.4
2013-10-30,80.55,17.57,75.73,103.34,82.25,25.2
2013-10-31,80.45,17.58,75.9,103.28,82.93,24.92
2013-11-01,80.47,17.51,76.59,103.78,83.85,23.63
2013-11-04,80.45,17.41,76.02,104.22,83.05,23.42
2013-11-05,80.54,17.45,78.17,104.04,84.23,22.69
2013-11-06,80.57,18.43,75.14,98.27,81.14,24.3
2013-11-07,80.43,17.69,77.26,102.15,84.29,22.31
2013-11-08,80.44,17.76,77.37,101.73,84.3,22.08
2013-11-11,80.37,17.68,78.15,102.16,83.9,22.03
2013-11-12,80.47,17.0,80.09,105.82,85.8,21.85
2013-11-13,80.58,16.93,79.4,106.64,87.18,21.33
2013-11-14,80.52,16.78,80.32,107.38,88.32,20.8
2013-11-15,80.58,17.26,78.87,104.43,87.51,20.82
2013-11-18,80.57,17.41,78.27,103.38,86.85,21.29
2013-11-19,80.53,17.54,77.31,102.66,86.08,20.45
2013-11-20,80.56,17.01,79.49,105.8,88.05,19.06
2013-11-21,80.58,16.73,78.95,107.47,89.3,18.49
2013-11-22,80.59,16.62,78.74,108.18,89.26,18.64
2013-11-25,80.61,16.36,79.76,109.86,89.12,18.82
2013-11-26,80.59,16.0,81.59,112.17,89.76,18.86
2013-11-27,80.61,15.75,82.55,114.01,89.55,19.29
2013-11-29,80.45,15.87,81.47,113.3,88.92,19.62
2013-12-02,80.45,15.87,82.44,112.97,87.91,20.57
2013-12-03,80.41,15.84,82.52,113.26,87.62,20.17
2013-12-04,80.37,15.9,81.78,112.89,86.63,20.42
2013-12-05,80.38,15.57,83.73,115.24,89.39,18.95
2013-12-06,80.39,15.39,84.43,116.62,90.06,18.72
2013-12-09,80.43,15.41,83.78,116.41,89.21,18.89
2013-12-10,80.38,16.0,81.67,112.06,86.08,20.66
2013-12-11,80.29,16.1,79.74,111.15,85.34,20.84
2013-12-12,80.33,16.18,79.23,110.62,85.13,20.93
2013-12-13,80.34,15.9,81.34,112.52,86.75,20.99
2013-12-16,80.43,15.98,81.09,111.81,85.89,20.77
2013-12-17,80.44,15.43,83.3,115.67,90.35,17.8
2013-12-18,80.34,15.57,83.65,114.63,90.14,18.23
2013-12-19,80.28,15.12,85.43,118.08,91.64,18.49
2013-12-20,80.21,14.63,88.86,121.9,93.03,17.15
2013-12-23,79.93,14.59,89.99,122.07,93.73,16.49
2013-12-24,79.86,14.47,90.59,123.32,95.14,15.88
2013-12-26,79.89,14.57,90.14,122.36,95.08,16.3
2013-12-27,79.94,14.62,89.66,121.72,94.99,16.8
2013-12-30,79.93,14.35,91.3,124.11,96.33,16.78
2013-12-31,79.94,14.69,88.5,121.21,93.56,17.48
2014-01-02,79.91,14.99,87.41,118.57,93.4,17.23
2014-01-03,79.98,15.16,87.01,117.31,92.78,16.78
2014-01-06,80.03,14.75,89.21,120.35,94.39,16.05
2014-01-07,79.87,14.63,89.33,121.25,94.49,16.08
2014-01-08,79.88,14.8,87.58,119.97,94.56,16.16
2014-01-09,80.04,14.64,88.0,121.2,95.37,15.4
2014-01-10,80.12,15.29,85.07,115.81,91.66,16.49
2014-01-13,80.07,14.42,89.53,121.99,94.52,15.17
2014-01-14,80.04,14.07,92.81,125.3,96.09,15.33
2014-01-15,80.05,14.04,92.8,125.59,95.69,15.45
2014-01-16,80.05,14.29,91.19,123.33,94.45,15.51
2014-01-17,80.03,13.98,92.35,126.09,95.28,15.14
