Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2019-10-31,27.33,142.56,26.35,198.87,25.38,306.14,27.62,190.99,71.17,60.04,18.18
2019-11-01,27.31,142.15,26.18,200.1,25.28,307.37,27.12,193.99,72.44,60.76,18.24
2019-11-04,27.23,139.85,26.18,200.21,25.31,307.03,27.1,193.18,72.53,60.54,18.8
2019-11-05,27.32,140.45,26.22,199.76,25.29,307.1,27.26,193.36,72.07,60.61,18.68
2019-11-06,27.13,138.27,26.14,200.43,25.21,308.18,27.0,197.51,72.8,61.23,18.43
2019-11-07,27.11,137.39,26.05,201.23,25.17,308.94,26.67,200.81,73.66,61.61,17.85
2019-11-08,27.1,137.06,26.08,200.96,25.21,308.35,26.79,201.17,73.35,61.32,17.77
2019-11-11,27.19,137.43,26.01,201.54,25.16,309.0,26.56,202.89,73.95,61.62,17.46
2019-11-12,27.23,137.98,26.03,201.59,25.16,309.1,26.6,204.64,73.84,61.7,17.62
2019-11-13,27.27,138.56,26.02,201.43,25.12,309.55,26.61,203.78,73.82,61.95,17.23
2019-11-14,27.26,138.21,25.87,202.91,24.94,311.79,26.12,208.6,75.21,63.3,16.1
2019-11-15,27.27,138.62,25.82,203.07,24.93,312.02,25.96,210.5,75.6,63.41,16.08
2019-11-18,27.32,138.69,25.77,203.37,24.93,311.93,25.88,211.79,75.91,63.32,16.31
2019-11-19,27.36,138.76,25.94,202.15,25.03,310.77,26.35,207.59,74.58,62.64,16.55
2019-11-20,27.3,138.0,26.0,201.7,25.06,310.27,26.54,204.83,74.0,62.33,16.61
2019-11-21,27.42,137.74,25.98,201.83,25.01,310.96,26.47,204.03,74.2,62.69,15.88
2019-11-22,27.6,137.08,25.67,204.22,24.83,313.37,25.53,212.58,76.77,64.13,14.87
2019-11-25,27.66,137.74,25.62,204.61,24.77,314.08,25.4,212.78,77.23,64.53,14.56
2019-11-26,27.69,137.01,25.46,206.04,24.67,315.48,24.89,216.5,78.79,65.37,14.43
2019-11-27,27.59,137.86,25.56,205.1,24.75,314.31,25.23,214.3,77.74,64.69,14.8
2019-11-29,27.2,137.79,25.85,203.0,24.98,311.64,26.05,205.73,75.24,63.03,16.04
2019-12-02,27.34,139.11,26.05,201.41,25.14,309.55,26.61,200.37,73.55,61.74,17.44
2019-12-03,27.37,138.92,25.9,202.43,24.99,311.46,26.21,202.46,74.64,62.84,16.23
2019-12-04,27.25,139.0,25.86,202.83,24.95,312.02,26.08,204.53,75.03,63.21,15.91
2019-12-05,27.4,137.62,25.6,205.0,24.73,314.87,25.27,211.37,77.35,64.88,15.12
2019-12-06,27.36,137.58,25.7,204.07,24.8,313.88,25.58,208.1,76.4,64.3,16.27
2019-12-09,27.24,137.97,25.73,203.9,24.83,313.53,25.64,208.3,76.23,64.05,16.23
2019-12-10,27.32,138.92,25.58,204.98,24.75,314.42,25.24,212.55,77.38,64.59,15.75
2019-12-11,27.32,138.43,25.4,206.51,24.54,317.13,24.68,219.43,79.15,66.25,14.44
2019-12-12,27.58,139.05,25.32,207.19,24.54,317.32,24.45,223.85,79.86,66.36,13.47
2019-12-13,27.61,139.04,25.08,209.27,24.36,319.5,23.75,229.64,82.15,67.75,13.02
2019-12-16,27.55,139.01,25.08,209.39,24.36,319.57,23.71,228.08,82.26,67.76,12.87
