Date,BIL,BTAL,LABU,SHV,SOXL,SOXS,TECL,TECS,TMF,UVXY
2016-08-01,45.72,21.79,44.96,110.39,37.52,20.0,44.54,21.1,111.85,24.96
2016-08-02,45.71,22.11,43.2,110.38,35.31,21.24,43.58,21.58,113.6,26.41
2016-08-03,45.71,21.93,47.3,110.37,36.46,20.69,44.27,21.29,115.81,24.34
2016-08-04,45.71,21.9,44.95,110.39,37.83,19.91,45.44,20.88,114.65,22.51
2016-08-05,45.71,21.65,46.56,110.39,38.91,19.14,46.44,20.27,111.17,21.43
2016-08-08,45.72,21.55,43.99,110.36,38.62,19.39,46.47,20.09,113.81,20.45
2016-08-09,45.71,21.82,43.11,110.38,39.53,18.99,46.56,20.19,116.94,20.12
2016-08-10,45.71,21.82,40.01,110.38,38.75,19.17,46.52,20.15,117.1,20.81
2016-08-11,45.72,21.78,40.74,110.4,39.0,19.15,46.36,20.43,117.95,21.12
2016-08-12,45.71,21.57,43.06,110.4,39.89,18.76,46.5,20.12,115.42,20.26
2016-08-15,45.71,21.48,43.75,110.4,41.1,18.27,46.63,20.14,114.39,20.83
2016-08-16,45.71,21.49,41.68,110.4,40.41,18.5,46.11,20.51,113.45,21.26
2016-08-17,45.71,21.42,41.08,110.4,40.06,18.45,45.95,20.51,114.71,20.48
2016-08-18,45.71,21.5,41.08,110.4,41.29,18.21,45.75,20.58,113.51,20.02
2016-08-19,45.71,21.52,42.0,110.4,42.09,17.74,45.92,20.39,115.95,20.03
2016-08-22,45.72,21.45,45.4,110.41,42.86,17.48,46.5,19.97,117.44,19.62
2016-08-23,45.71,21.43,44.67,110.39,42.95,17.29,46.39,20.18,117.18,20.0
2016-08-24,45.72,21.44,39.85,110.4,42.32,17.95,45.5,20.6,28.74,21.4
2016-08-25,45.71,21.65,37.91,110.4,42.62,17.51,46.03,20.3,29.0,20.37
2016-08-26,45.72,21.42,39.4,110.4,43.19,17.1,46.65,20.33,28.83,20.7
2016-08-29,45.72,21.27,38.87,110.39,43.46,17.13,46.35,20.26,29.3,19.81
2016-08-30,45.72,21.31,38.45,110.39,43.08,17.28,45.99,20.32,28.93,19.79
2016-08-31,45.72,21.45,37.43,110.36,43.11,17.13,45.95,20.41,28.5,19.65
2016-09-01,45.72,21.48,37.82,110.35,44.67,16.64,47.03,19.96,28.68,18.87
2016-09-02,45.72,21.48,38.38,110.34,44.65,16.9,47.17,20.06,28.55,17.95
2016-09-06,45.73,21.36,40.6,110.39,43.67,16.98,47.83,19.52,29.51,17.31
2016-09-07,45.72,21.32,42.23,110.37,42.2,17.54,47.54,19.72,28.61,16.85
2016-09-08,45.73,21.19,41.65,110.37,41.45,17.84,45.82,20.32,26.93,18.3
2016-09-09,45.73,21.42,38.1,110.35,36.91,19.96,42.63,21.76,26.43,22.92
2016-09-12,45.73,21.35,42.15,110.33,39.31,18.5,45.2,20.44,26.75,21.04
2016-09-13,45.73,21.43,41.92,110.35,38.95,18.65,44.75,20.65,25.64,24.09
2016-09-14,45.72,21.27,44.75,110.36,40.14,18.08,45.5,20.38,25.43,24.5
2016-09-15,45.73,21.32,44.86,110.36,43.8,16.65,47.55,19.43,25.98,23.61
2016-09-16,45.73,21.19,46.98,110.37,43.7,16.6,47.31,19.56,25.9,20.57
2016-09-19,45.72,21.17,50.38,110.38,43.52,16.62,46.98,19.69,26.3,19.96
2016-09-20,45.72,21.16,52.99,110.4,42.94,16.83,47.18,19.63,25.98,20.0
