Date,BIL,BSV,BTAL,CURE,DRN,DUSL,ERX,FAS,LTL,NAIL,PSQ,QID,QLD,QQQ,SH,SHV,SMH,SOXL,SPXU,SPY,SQQQ,TECL,TLT,TMF,TMV,TQQQ,UGE,UPRO,UTSL,UUP,UVXY,UYM,VDE,VIXY,WANT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XTL
2019-02-01,91.45,78.74,21.21,54.29,22.5,27.19,21.19,58.65,37.82,34.42,31.62,39.8,78.47,167.48,29.03,110.36,97.58,110.4,36.55,270.14,12.68,103.0,120.43,18.88,18.65,46.47,39.5,43.18,28.22,25.46,51.66,53.55,87.09,28.75,23.59,53.41,64.49,26.06,71.98,66.76,53.21,34.08,54.31,90.76,107.04,69.12
2019-02-04,91.46,78.74,21.3,54.02,23.17,28.21,21.63,59.8,37.06,34.99,31.22,38.74,80.6,169.76,28.78,110.37,98.0,112.0,35.6,272.47,12.19,108.79,120.73,18.99,18.53,48.37,39.27,44.31,29.01,25.48,48.96,53.77,87.85,27.7,24.82,53.54,64.99,26.21,72.93,67.97,53.6,34.36,54.64,90.64,108.22,68.9
2019-02-05,91.47,78.84,21.21,53.09,23.38,28.82,21.53,59.34,36.95,34.45,30.97,38.15,81.84,171.07,28.75,110.38,100.18,117.5,35.5,272.8,11.91,110.92,121.35,19.3,18.23,49.49,39.57,44.44,28.68,25.55,48.41,54.02,87.46,27.5,25.11,53.55,64.78,26.01,73.32,68.39,53.42,34.45,54.67,90.2,108.93,68.79
2019-02-06,91.48,78.87,21.28,53.23,22.88,28.25,20.89,58.46,35.7,32.8,31.37,39.1,79.87,168.94,28.97,110.4,99.9,118.0,36.26,270.93,12.35,108.56,121.48,19.35,18.19,47.67,39.09,43.51,28.8,25.65,50.78,52.89,86.61,28.41,24.28,53.15,64.26,25.98,72.99,67.91,53.35,34.2,54.64,90.18,107.68,68.53
2019-02-07,91.5,78.9,21.42,51.77,23.32,27.6,19.76,57.25,36.25,33.13,31.79,40.17,77.69,166.76,29.21,110.43,97.5,109.1,37.17,268.72,12.85,103.82,122.26,19.74,17.84,45.73,39.21,42.42,29.95,25.69,52.75,51.14,84.96,29.16,23.16,52.46,63.06,25.66,72.5,66.99,53.43,34.43,55.31,89.42,106.89,67.73
2019-02-08,91.5,78.86,21.5,53.12,23.9,28.88,19.22,58.18,38.5,33.57,31.33,39.04,79.95,169.17,28.95,110.42,99.31,115.59,36.17,271.17,12.3,109.64,121.85,19.54,18.0,47.8,39.75,43.63,30.47,25.78,49.06,51.53,84.34,27.8,24.15,52.89,62.64,25.75,73.28,68.2,53.84,34.6,55.68,90.14,107.49,68.83
2019-02-11,91.5,78.86,21.45,53.11,24.1,29.52,20.71,59.49,38.08,34.1,31.26,38.82,80.34,169.63,28.82,110.43,100.66,119.8,35.67,272.43,12.2,110.59,121.66,19.42,18.11,48.13,39.82,44.21,30.6,25.8,47.52,52.48,86.4,27.2,24.62,53.27,64.09,25.94,74.02,68.43,54.04,34.7,55.76,90.22,108.01,70.07
2019-02-12,91.51,78.81,21.37,54.85,23.03,30.43,20.89,60.85,38.06,37.88,30.87,37.91,82.27,171.65,28.53,110.43,101.77,124.98,34.66,275.06,11.78,114.48,121.17,19.19,18.32,49.86,41.63,45.48,30.43,25.82,47.31,54.49,86.73,27.14,25.17,54.26,64.3,26.25,74.87,69.22,54.45,34.41,55.62,91.24,109.42,70.11
2019-02-13,91.53,78.92,21.21,54.74,23.88,30.53,21.22,60.13,38.47,36.18,31.11,38.5,81.03,170.4,28.69,110.45,101.44,122.04,35.17,273.77,12.05,112.37,122.16,19.64,17.9,48.7,39.84,44.81,30.33,25.84,49.38,53.76,87.11,27.92,24.36,53.78,64.61,26.0,74.61,68.78,53.88,34.68,55.67,91.03,108.84,70.23
2019-02-14,91.54,78.87,21.28,56.4,23.69,30.36,22.23,60.69,39.1,36.97,30.74,37.54,83.11,172.52,28.41,110.47,102.73,127.99,34.17,276.38,11.63,116.13,121.56,19.33,18.15,50.48,40.94,46.1,30.58,25.83,47.55,55.1,88.55,27.22,25.51,54.34,65.75,26.09,75.15,69.59,54.25,34.89,55.76,92.16,110.0,70.89
