Date,BIL,BTAL,COKE,COST,EDC,EDZ,EUM,FTLS,IAU,KMLM,LLY,MO,NVO,PGR,PSQ,QLD,QQQ,TLT,TQQQ,UUP,UVXY,VIXY
2021-04-09,91.49,17.11,300.33,346.3451,97.18,8.76,12.3,46.317,16.5,27.46,173.8995,36.8991,69.46,91.7824,13.18,130.37,336.67,137.45,106.85,24.8,4.77,8.32
2021-04-12,91.49,17.23,298.23,346.7248,98.46,8.65,12.235,46.3957,16.61,27.42,174.5786,36.4855,70.77,92.601,13.0,133.41,340.6,138.48,110.51,24.71,4.69,8.25
2021-04-13,91.49,17.1,299.9,344.7881,99.97,8.51,12.18,46.38,16.55,27.99,175.0281,36.6139,70.55,92.4963,13.18,130.2,336.51,138.04,106.63,24.68,4.84,8.44
2021-04-14,91.5,17.19,302.74,350.1331,102.46,8.3,12.06,46.85,16.82,27.965,177.8209,36.7993,71.51,95.5611,12.96,134.11,341.61,140.35,111.34,24.68,4.61,8.16
2021-04-15,91.5,17.16,306.8,351.9559,103.22,8.23,12.03,46.9673,16.91,28.0,181.0058,37.2984,72.17,94.0002,12.96,134.47,342.01,139.26,111.81,24.65,4.48,8.03
2021-04-16,91.49,17.23,311.32,350.8451,102.06,8.3,12.07,46.76,16.87,27.96,181.3788,34.9953,72.7,94.5046,13.06,131.99,338.88,138.86,108.76,24.51,4.74,8.31
2021-04-19,91.49,17.5,306.74,352.9148,99.86,8.51,12.175,46.2967,16.93,28.12,182.3065,33.6477,73.28,94.9805,13.18,129.98,336.41,139.5,106.38,24.55,4.88,8.5
2021-04-20,91.49,17.325,312.97,355.1553,101.6,8.36,12.09,46.7747,17.1,28.085,182.6317,33.9258,74.23,96.3321,13.04,132.28,339.29,139.78,109.07,24.52,4.51,8.06
2021-04-21,91.5,17.22,314.51,352.4686,100.53,8.44,12.135,46.53,17.0,28.38,178.9017,33.1557,74.15,95.3232,13.21,129.1,335.2,140.39,105.1,24.59,4.93,8.62
2021-04-22,91.5,17.06,315.01,354.3864,104.75,8.1,11.98,47.0491,16.91,28.44,180.4989,33.7903,74.06,95.9038,13.05,132.34,339.42,140.06,109.06,24.45,4.64,8.23
2021-04-23,91.49,16.95,310.22,349.8672,105.09,8.06,11.95,47.151,16.97,28.795,179.0642,33.6691,74.1,95.0471,12.95,134.05,341.63,139.86,111.22,24.45,4.57,8.17
2021-04-26,91.5,16.91,303.81,351.4717,105.09,8.06,11.95,47.0744,16.92,29.055,174.2724,33.6263,73.68,95.0947,13.01,132.82,340.15,138.64,109.76,24.46,4.45,7.99
2021-04-27,91.49,16.81,297.14,350.8831,107.6,7.84,11.86,47.16,16.97,28.8676,172.6848,33.6406,74.12,95.523,13.07,131.77,339.0,138.73,108.63,24.37,4.42,7.96
2021-04-28,91.49,16.79,297.79,355.3929,106.35,7.97,11.89,47.1007,16.9,29.185,174.2629,33.227,74.24,97.0364,13.03,132.87,340.22,138.32,109.72,24.38,4.37,7.91
2021-04-29,91.5,16.9055,293.25,354.0132,100.92,8.34,12.1,46.8339,16.85,29.275,174.8081,34.047,73.95,95.8847,13.11,131.07,337.99,138.64,107.66,24.58,4.63,8.23
2021-04-30,91.5,16.8451,297.71,360.892,100.63,8.35,12.1,47.1346,17.07,29.1,177.8209,34.4891,75.34,97.617,13.17,129.73,336.19,138.52,105.9,24.47,4.39,7.92
2021-05-03,91.49,16.87,288.4,357.0578,97.54,8.61,12.225,46.92,16.94,29.2901,180.0015,34.1183,74.13,98.1595,13.41,125.04,330.14,139.46,100.32,24.58,4.64,8.22
2021-05-04,91.5,16.755,286.11,354.4034,99.07,8.505,12.17,47.23,17.02,29.4319,184.4107,34.4748,74.07,98.7972,13.45,124.14,329.03,139.69,99.15,24.57,4.47,8.03
2021-05-05,91.5,16.73,287.69,364.1649,101.71,8.3,12.055,47.4654,17.3,29.47,185.4437,35.2877,74.2,99.178,13.35,126.08,331.51,139.92,101.32,24.45,4.42,7.98
2021-05-06,91.49,16.64,288.05,365.6491,104.95,7.98,11.935,47.9506,17.45,29.61,186.907,35.6156,75.66,100.1107,13.23,128.06,334.2,139.23,103.8,24.27,4.06,7.5
2021-05-07,91.49,16.85,290.59,362.9471,99.12,8.48,12.14,47.4364,17.52,29.47,186.2758,36.1362,76.28,100.6437,13.59,121.55,325.76,137.82,96.0,24.27,4.32,7.83
2021-05-10,91.49,16.87,292.35,359.8073,97.99,8.5,12.2,47.2006,17.52,29.8162,186.2662,35.9579,76.62,100.0156,13.58,121.32,325.31,137.04,95.52,24.25,4.78,8.44
2021-05-11,91.48,17.14,310.4,354.118,90.31,9.22,12.53,46.46,17.34,30.4186,184.7837,35.1878,78.04,99.711,13.94,115.04,316.89,135.6,88.25,24.43,6.06,9.89
2021-05-12,91.48,16.97,327.76,361.0918,89.91,9.26,12.52,46.7485,17.42,29.38,187.2719,35.7369,78.89,100.9388,13.84,116.82,319.34,135.81,90.11,24.39,5.18,8.96
2021-05-13,91.48,16.84,330.66,365.7443,94.88,8.76,12.31,47.3837,17.56,29.4003,188.4919,35.8509,79.1,101.9382,13.52,121.92,326.39,137.08,95.97,24.29,4.25,7.91
2021-05-14,91.49,16.79,336.19,365.3066,94.5,8.76,12.3,47.64,17.78,29.64,187.8386,35.801,80.58,101.4242,13.6,120.45,324.41,136.79,94.35,24.26,4.47,8.07
2021-05-17,91.49,16.825,335.2,364.2124,98.34,8.41,12.14,47.4852,17.8,29.6086,186.9741,35.6442,79.64,100.8722,13.68,118.79,322.22,136.44,92.37,24.15,4.55,8.29
2021-05-18,91.48,16.946,342.61,361.2155,97.4,8.5,12.175,47.2728,17.82,29.3525,188.7801,35.252,80.05,96.1322,13.68,119.07,322.59,136.11,92.71,24.26,4.89,8.65
2021-05-19,91.48,17.03,352.91,364.945,99.13,8.35,12.1,47.6744,17.9,28.9196,191.6813,35.6727,80.83,97.1221,13.41,123.68,328.83,137.23,98.07,24.14,4.49,8.19
2021-05-20,91.49,17.02,353.51,362.224,95.43,8.64,12.25,47.62,17.92,29.1373,192.0175,35.6513,81.3,94.3618,13.48,122.28,327.01,137.67,96.45,24.22,4.38,8.08
2021-05-21,91.48,16.86,367.4,364.8214,97.99,8.44,12.14,47.9574,35.88,29.2691,193.1127,35.8795,81.7,92.7628,13.27,126.43,332.51,138.18,101.28,24.16,4.09,7.71
2021-05-24,91.48,16.78,382.24,366.6576,100.84,8.18,12.01,47.8,36.2,28.91,191.3835,35.3732,80.38,92.5915,13.24,63.38,332.97,139.46,101.77,24.13,4.09,7.71
2021-05-25,91.48,16.78,391.94,366.8859,103.02,7.99,11.935,47.86,36.14,29.2156,193.0839,35.2377,80.34,93.6575,13.21,63.8,334.13,139.22,102.8,24.22,38.12,29.39
2021-05-26,91.49,16.54,401.63,368.6746,103.35,7.97,11.925,47.9132,36.16,29.355,191.3643,35.0809,78.82,94.3714,13.24,63.34,332.88,138.655,101.6,24.2,35.27,27.96
2021-05-27,91.49,16.59,404.92,359.893,105.57,7.84,11.86,47.9939,36.26,29.2779,191.883,35.0951,78.9,94.3047,13.21,63.69,333.93,138.44,102.59,24.22,36.16,28.36
2021-05-28,91.48,16.44,418.51,359.8549,111.69,7.34,11.62,48.18,36.2,29.83,190.615,35.195,79.19,94.5236,13.25,63.3,332.82,138.21,101.59,24.18,37.21,29.07
2021-06-01,91.48,16.5,417.8,362.1003,112.05,7.32,11.595,48.1568,36.37,29.67,191.2971,35.3019,78.85,95.6277,13.23,63.54,333.47,138.53,102.12,24.18,35.98,28.36
2021-06-02,91.48,16.63,432.63,365.2209,108.23,7.54,11.72,48.06,35.64,29.71,194.7266,35.4944,79.68,95.1423,13.36,62.17,330.0,138.01,98.91,24.33,36.84,28.88
2021-06-03,91.49,16.6177,429.23,368.6936,111.42,7.36,11.6,48.2381,36.04,29.82,194.0733,35.4873,80.95,95.523,13.12,64.36,335.6,139.9,103.98,24.24,34.14,27.35
2021-06-04,91.47,16.72,448.06,361.9196,109.69,7.45,11.66,48.39,36.19,29.555,213.7669,36.0007,81.2,91.7444,13.1,64.69,336.6,139.47,104.9,24.2,33.07,26.86
2021-06-07,91.47,16.67,450.96,361.2536,108.0,7.56,11.72,48.48,36.07,29.75,212.0186,35.5657,82.28,91.2399,13.09,64.74,336.76,140.45,105.02,24.23,33.68,27.19
2021-06-08,91.47,16.795,444.0,361.5009,107.04,7.62,11.755,48.3495,36.01,29.465,217.11,35.58,83.49,90.25,13.09,64.8,336.84,141.69,105.14,24.25,34.57,27.6
2021-06-09,91.47,16.9289,436.45,364.4027,109.59,7.46,11.67,48.6013,36.16,29.5,224.3535,35.7511,84.76,89.4886,12.94,66.16,340.35,142.54,108.36,24.23,31.51,25.93
2021-06-10,91.48,16.85,432.23,363.2801,108.41,7.53,11.7,48.5385,35.76,29.47,215.2752,35.4802,84.45,89.0888,12.91,66.48,341.24,142.31,109.22,24.35,30.04,25.23
2021-06-11,91.47,16.94,413.51,365.1163,109.39,7.45,11.665,48.61,35.55,29.505,217.2061,34.8852,84.43,88.632,12.79,67.75,344.51,141.22,112.28,24.33,30.48,25.42
2021-06-14,91.47,16.865,411.2,365.2591,106.92,7.6,11.755,48.5455,35.41,29.4475,214.7276,34.7546,84.57,89.2411,12.87,66.85,342.26,141.05,110.2,24.35,31.5,25.995
2021-06-15,91.48,16.86,408.77,360.9776,102.78,7.92,11.905,48.4419,34.82,29.2955,212.0762,34.37,83.63,88.4416,12.92,66.37,341.01,140.93,109.02,24.55,31.94,26.25
2021-06-16,91.47,17.03,410.3,366.0582,104.57,7.77,11.83,48.29,33.75,28.5083,213.4691,34.0073,82.77,87.4137,12.74,68.05,345.34,143.04,113.09,24.74,31.72,26.09
2021-06-17,91.48,17.12,399.51,362.3762,101.66,7.95,11.9301,47.7619,33.56,28.2512,209.9531,33.6009,82.28,87.861,12.86,66.99,342.63,145.73,110.39,24.82,35.89,28.36
