Date,BITI,BSV,MSTR,TBT
2015-07-08,17.84,80.23,174.44,49.04
2015-07-09,20.34,80.09,175.7,50.59
2015-07-10,19.92,80.01,177.1,50.93
2015-07-13,19.64,80.09,180.7,50.55
2015-07-14,19.43,80.16,182.87,49.49
2015-07-15,19.12,80.14,186.3,48.8
2015-07-16,19.47,80.09,185.63,48.33
2015-07-17,19.07,80.02,184.0,48.68
2015-07-20,20.08,80.04,181.5,48.2
2015-07-21,19.4,80.01,183.72,47.57
2015-07-22,19.16,80.07,179.82,46.37
2015-07-23,18.43,80.11,181.43,46.13
2015-07-24,18.42,80.19,178.17,45.65
2015-07-27,19.03,80.17,202.01,46.32
2015-07-28,18.25,80.11,204.48,46.67
2015-07-29,17.77,80.12,204.81,45.95
2015-07-30,17.93,80.22,203.85,45.23
2015-07-31,18.2,80.21,203.5,44.27
2015-08-03,17.9,80.03,214.86,45.01
2015-08-04,17.73,79.96,216.25,45.68
2015-08-05,17.7,80.01,213.04,44.93
2015-08-06,16.9,80.03,215.61,43.74
2015-08-07,16.98,80.02,218.85,44.75
2015-08-10,17.29,80.15,215.41,43.36
2015-08-11,17.7,80.15,216.98,43.83
2015-08-12,17.87,80.07,218.71,44.09
2015-08-13,19.31,79.99,218.8,43.85
2015-08-14,19.72,80.08,221.6,43.5
2015-08-17,19.15,80.04,217.73,44.15
2015-08-18,19.24,80.2,218.62,43.3
2015-08-19,18.7,80.19,209.59,42.41
2015-08-20,17.33,80.29,204.0,42.13
2015-08-21,16.23,80.3,196.06,42.11
2015-08-24,16.59,80.29,196.03,43.42
2015-08-25,16.77,80.2,201.14,45.18
2015-08-26,16.95,80.2,200.87,45.12
2015-08-27,17.1,80.1,200.99,44.9
2015-08-28,17.02,80.07,198.7,45.51
2015-08-31,17.02,80.11,196.04,44.92
2015-09-01,16.83,80.13,197.02,45.66
2015-09-02,16.92,80.13,198.37,45.26
2015-09-03,16.7,80.18,195.43,44.37
2015-09-04,17.18,80.11,201.25,45.66
2015-09-08,16.65,80.13,198.34,45.29
2015-09-09,16.59,80.11,198.41,45.86
2015-09-10,16.73,80.18,201.14,45.27
