Date,PSQ,QLD,QQQ,SHY,SPY
2012-08-02,25.99,55.2,65.42,84.49,138.6
2012-08-03,25.78,56.07,65.94,84.49,139.7
2012-08-06,25.6,56.82,66.37,84.47,140.2
2012-08-07,25.55,56.94,66.48,84.44,139.82
2012-08-08,25.52,57.23,66.61,84.42,140.3
2012-08-09,25.53,57.16,66.58,84.44,140.07
2012-08-10,25.41,57.65,66.84,84.45,140.6
2012-08-13,25.26,58.36,67.27,84.43,141.28
2012-08-14,25.36,57.84,67.0,84.41,140.64
2012-08-15,25.19,58.7,67.47,84.41,141.09
2012-08-16,24.92,59.85,68.17,84.39,142.25
2012-08-17,24.88,60.08,68.27,84.4,142.01
2012-08-20,24.75,60.7,68.6,84.4,142.52
2012-08-21,24.99,59.52,68.0,84.42,141.38
2012-08-22,24.92,59.83,68.12,84.46,141.45
2012-08-23,25.09,59.06,67.71,84.46,140.3
2012-08-24,24.76,60.63,68.58,84.45,141.9
2012-08-27,24.86,60.15,68.34,84.45,141.17
2012-08-28,24.83,60.28,68.4,84.46,141.48
2012-08-29,24.94,59.79,68.1,84.47,140.9
2012-08-30,24.9,59.87,68.2,84.49,141.32
2012-08-31,24.95,59.67,68.03,84.52,141.09
2012-09-04,24.95,59.6,68.06,84.49,141.1
2012-09-05,24.81,60.3,68.44,84.44,141.79
2012-09-06,24.44,61.97,69.37,84.49,144.02
2012-09-07,24.49,61.77,69.25,84.47,144.21
2012-09-10,24.74,60.47,68.55,84.46,143.63
2012-09-11,24.68,60.71,68.68,84.46,144.38
2012-09-12,24.67,60.76,68.69,84.47,144.33
2012-09-13,24.26,62.77,69.81,84.48,146.89
2012-09-14,24.14,63.43,70.22,84.44,146.95
2012-09-17,24.2,63.09,70.03,84.44,146.53
2012-09-18,24.11,63.54,70.26,84.46,146.76
2012-09-19,24.2,63.09,70.06,84.46,146.0
2012-09-20,23.99,64.21,70.48,84.44,146.64
2012-09-21,24.29,62.58,69.57,84.45,145.16
2012-09-24,24.16,63.28,69.92,84.43,145.96
2012-09-25,24.61,60.91,68.67,84.44,144.11
2012-09-26,24.72,60.43,68.37,84.45,143.88
2012-09-27,24.51,61.36,68.91,84.48,144.01
2012-09-28,24.51,61.4,68.9,84.48,144.5
2012-10-01,24.54,61.16,68.77,84.47,144.9
2012-10-02,24.52,61.3,68.86,84.47,144.88
2012-10-03,24.4,61.95,69.22,84.47,145.63
2012-10-04,24.21,62.76,69.7,84.45,146.92
2012-10-05,24.62,60.7,68.57,84.44,145.58
2012-10-08,24.77,60.05,68.14,84.42,145.52
2012-10-09,25.1,58.4,67.24,84.42,144.2
2012-10-10,25.03,58.7,67.42,84.43,144.28
2012-10-11,25.28,57.5,66.7,84.43,143.44
2012-10-12,25.2,57.84,66.93,84.44,143.23
2012-10-15,25.08,58.46,67.27,84.43,144.76
2012-10-16,24.9,59.24,67.77,84.42,145.63
2012-10-17,24.87,59.42,67.86,84.38,145.85
2012-10-18,25.08,58.33,67.21,84.36,145.5
2012-10-19,25.68,55.54,65.65,84.37,143.2
2012-10-22,25.72,55.31,65.48,84.38,141.88
2012-10-23,25.63,55.77,65.74,84.38,141.94
2012-10-24,25.69,55.54,65.63,84.37,142.07
2012-10-25,25.86,54.75,65.16,84.38,141.32
2012-10-26,25.81,55.0,65.27,84.38,141.84
2012-10-31,25.76,55.05,65.36,84.41,141.66
2012-11-01,25.43,56.5,66.17,84.39,143.72
2012-11-02,25.83,54.7,65.18,84.4,141.37
2012-11-05,25.61,55.64,65.71,84.4,142.27
2012-11-06,25.9,54.45,65.02,84.42,141.65
2012-11-07,26.12,53.31,64.35,84.42,139.72
2012-11-08,26.61,51.41,63.2,84.44,137.61
2012-11-09,26.35,52.4,63.8,84.43,138.55
2012-11-12,26.75,50.91,62.93,84.45,137.52
2012-11-13,26.57,51.58,63.29,84.45,138.21
2012-11-14,27.0,49.94,62.28,84.45,135.95
2012-11-15,27.08,49.57,62.08,84.46,135.92
2012-11-16,26.7,51.02,62.98,84.46,137.92
2012-11-19,26.34,52.31,63.76,84.44,138.89
2012-11-20,26.3,52.43,63.87,84.41,139.31
2012-11-21,26.1,53.22,64.29,84.4,140.14
2012-11-23,25.91,53.87,64.74,84.42,140.69
2012-11-26,25.76,54.62,65.17,84.41,140.91
2012-11-27,25.97,53.69,64.65,84.43,139.77
2012-11-28,25.49,55.73,65.87,84.43,142.02
2012-11-29,25.45,55.82,65.94,84.44,142.17
