Date,BITF,BITO,COIN,MARA,MSTR,RIOT,UVXY
2022-06-02,1.94,18.34,66.69,8.8,227.22,6.21,13.46
2022-06-03,1.91,19.56,70.67,8.93,235.44,6.37,13.18
2022-06-06,1.88,19.29,69.57,8.69,240.0,6.17,12.69
2022-06-07,1.83,18.68,69.2,8.53,232.89,5.97,12.65
2022-06-08,1.73,18.59,63.76,7.66,217.76,5.47,13.55
2022-06-09,1.59,17.95,58.71,7.54,203.36,5.17,14.79
2022-06-10,1.34,14.32,52.01,6.65,152.15,4.65,17.8
2022-06-13,1.37,13.73,51.58,6.94,156.87,4.89,16.98
2022-06-14,1.43,13.4,55.01,6.87,171.34,4.86,15.55
2022-06-15,1.3,12.92,51.05,6.57,161.34,4.53,16.95
2022-06-16,1.33,12.72,51.22,6.61,167.6,4.65,16.19
2022-06-17,1.39,12.95,57.49,7.22,178.96,5.09,15.78
2022-06-21,1.31,12.47,51.91,6.75,170.91,4.6,14.85
2022-06-22,1.38,12.95,58.88,7.05,188.31,4.94,14.79
2022-06-23,1.5,13.16,62.71,7.42,205.44,5.19,14.39
2022-06-24,1.39,12.87,55.96,6.85,196.73,4.89,13.71
2022-06-27,1.27,12.47,51.18,6.43,186.12,4.76,14.27
2022-06-28,1.19,12.48,49.75,5.8,179.69,4.5,14.37
2022-06-29,1.12,11.61,47.02,5.34,164.3,4.19,14.53
2022-06-30,1.1,11.96,49.04,5.54,166.77,4.24,13.99
2022-07-01,1.29,12.63,55.41,6.07,187.68,4.73,14.01
2022-07-05,1.17,12.56,51.71,5.65,188.3,4.53,13.65
2022-07-06,1.33,13.53,57.46,7.01,219.51,5.28,13.44
2022-07-07,1.36,13.48,60.29,8.51,221.28,5.46,12.99
2022-07-08,1.19,12.66,53.88,7.81,200.9,4.87,13.53
2022-07-11,1.14,11.95,54.24,7.67,192.52,4.84,13.74
2022-07-12,1.16,12.12,53.1,7.76,195.55,4.93,13.39
2022-07-13,1.15,12.75,53.42,8.0,204.59,5.32,13.45
2022-07-14,1.17,13.1,53.79,8.04,213.98,5.57,12.44
2022-07-15,1.25,13.37,58.67,9.76,225.63,6.23,12.94
2022-07-18,1.43,14.51,65.83,12.9,267.17,6.98,12.69
2022-07-19,1.47,14.64,75.27,12.47,288.77,7.02,12.25
2022-07-20,1.5,14.39,73.98,13.49,289.71,7.62,11.83
2022-07-21,1.34,13.98,70.82,12.42,281.92,7.12,11.69
2022-07-22,1.3,13.54,67.07,11.57,265.86,6.65,11.5
2022-07-25,1.26,12.92,52.93,10.11,237.64,6.21,11.91
2022-07-26,1.38,14.12,58.83,12.32,262.4,7.15,11.33
2022-07-27,1.47,14.79,62.25,13.2,275.72,7.4,10.49
2022-07-28,1.46,14.83,62.96,12.99,286.06,7.32,10.32
2022-07-29,1.41,14.21,62.7,12.27,275.74,7.33,10.82
2022-08-01,1.49,14.19,67.23,12.96,278.26,7.75,11.03
2022-08-02,1.61,14.53,80.81,13.28,313.68,8.12,10.21
2022-08-03,1.54,13.83,88.9,13.42,309.31,8.18,10.22
2022-08-04,1.62,14.17,93.05,14.17,319.15,8.27,9.88
2022-08-05,1.69,14.79,98.02,14.43,330.01,8.71,9.91
2022-08-08,1.57,14.23,87.68,14.11,319.38,8.145,10.03
2022-08-09,1.72,14.6,94.14,16.36,335.8,9.11,9.17
2022-08-10,1.74,14.98,84.0,17.19,336.99,9.52,9.26
2022-08-11,2.0,14.96,90.49,18.24,352.84,9.93,9.11
2022-08-12,2.18,14.8,91.97,17.65,349.08,9.76,8.91
2022-08-15,2.0,14.77,90.39,16.88,342.64,9.17,8.98
2022-08-16,1.81,14.31,85.44,15.45,325.2,8.35,8.94
2022-08-17,1.72,14.39,83.47,15.59,324.38,8.28,8.75
2022-08-18,1.5,13.08,74.06,13.18,283.0,7.25,9.37
2022-08-19,1.38,12.93,71.47,12.93,268.09,7.0,10.28
2022-08-22,1.45,13.25,71.18,13.71,265.8,7.1,10.05
2022-08-23,1.47,13.35,71.48,13.78,274.41,7.29,9.52
2022-08-24,1.46,13.24,71.37,12.88,272.81,7.43,9.09
2022-08-25,1.34,12.59,66.74,11.35,249.2,6.79,10.41
2022-08-26,1.32,12.32,66.34,11.81,244.96,6.97,10.31
2022-08-29,1.28,12.18,67.03,11.53,240.23,6.89,10.57
2022-08-30,1.3,12.36,66.8,11.85,231.56,7.17,10.23
2022-08-31,1.25,12.15,65.53,11.51,220.92,6.85,10.13
2022-09-01,1.22,12.18,65.26,11.38,218.06,6.63,10.28
2022-09-02,1.15,11.47,62.78,11.12,204.25,6.4,10.6
2022-09-06,1.21,11.66,68.25,11.68,218.61,6.55,9.73
2022-09-07,1.28,11.9,73.08,13.26,234.5,7.46,9.5
2022-09-08,1.4,13.17,80.87,14.16,261.97,8.26,9.35
2022-09-09,1.41,13.85,82.55,14.43,262.98,8.47,9.27
2022-09-12,1.25,12.49,75.25,12.82,231.25,7.63,10.52
2022-09-13,1.26,12.28,78.7,12.6,225.99,7.56,10.46
2022-09-14,1.27,12.16,77.23,12.07,216.94,7.38,10.41
2022-09-15,1.24,12.06,74.0,10.92,206.34,6.645,10.4
2022-09-16,1.24,12.0,69.93,10.87,206.2,6.52,9.94
2022-09-19,1.15,11.65,67.94,10.26,196.6,6.22,10.46
2022-09-20,1.16,11.67,67.64,10.85,195.92,6.37,10.92
2022-09-21,1.1,11.87,62.94,10.52,192.32,6.34,10.87
2022-09-22,1.07,11.55,61.88,9.47,191.45,6.33,11.83
2022-09-23,1.03,11.81,62.28,9.61,200.18,6.7,12.48
2022-09-26,1.04,11.74,63.05,9.87,206.07,6.83,12.73
2022-09-27,1.1,12.05,67.31,10.95,220.47,7.34,11.95
2022-09-28,1.05,11.96,61.94,10.77,211.82,7.09,12.49
