"Date","Day Traded","UPRO","TECS","EEM","USDU","SOXL","DGRO","TMF","EPI","YCS","EWZ","PUI","CURE","SVXY","$USD","UUP","DBC","SHY","SPXL","ERX","SPXU","TECL","UGL","BTAL","SPXS","TQQQ","EFA","SOXS","QLD","VIXY","GLD","EUO","UVXY","UCO","TNA","TMV","SCHD","VIXM","BIL","USD","SQQQ","AGG","MVV"
"Asset Type","","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Cash","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity","Equity"
"2016-08-19","Yes","-","-","-","-","-","9.3%","2.9%","-","-","14.3%","-","-","14.3%","-","-","-","-","-","-","-","35.7%","-","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","10.7%","-","-","-","-","-"
"2016-08-18","Yes","-","-","-","14.3%","-","9.3%","14.3%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2016-08-17","No","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.6%","-","-","-","-","-","-","-","42.7%","-","10.7%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.4%","-","-","-","-","-"
"2016-08-16","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","42.9%","-","10.7%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.6%","-","-","-","-","-"
"2016-08-15","Yes","-","-","-","-","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","10.7%","-","-","-","-","-","-","-","-","14.3%","-","-","-","9.3%","13.6%","-","-","-","-","-"
"2016-08-12","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2016-08-11","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","14.3%","9.3%","17.1%","14.3%","-","-","-","-"
"2016-08-10","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-08-09","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-08-08","No","14.2%","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.6%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","16.9%","14.3%","-","-","-","-"
"2016-08-05","Yes","14.3%","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","14.3%","-","-","-","-"
"2016-08-04","No","-","-","-","14.1%","14.5%","9.2%","2.9%","-","-","-","-","-","14.8%","-","-","-","-","-","-","-","21.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.1%","13.8%","-","-","-","-","-"
"2016-08-03","No","-","-","-","14.2%","14.3%","9.2%","2.8%","-","-","-","-","-","14.6%","-","-","-","-","-","-","-","21.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","14.1%","-","-","-","-","-"
"2016-08-02","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-08-01","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2016-07-29","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-07-28","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-07-27","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","2.9%","-","-","-","-","14.3%","-","7.1%","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-07-26","Yes","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-","14.3%","-","-","2.9%","-","-","-","-","-","-","7.1%","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-07-25","Yes","-","-","-","-","-","9.3%","28.6%","-","-","-","-","-","14.3%","-","-","2.9%","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-07-22","No","-","-","-","-","-","9.3%","14.3%","-","-","14.4%","-","-","14.5%","-","-","2.8%","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.0%","14.2%","-","-","-","-"
"2016-07-21","Yes","-","-","-","-","-","9.3%","14.3%","-","-","14.3%","-","-","14.3%","-","-","2.9%","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-07-20","Yes","-","-","-","-","-","9.3%","14.3%","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2016-07-19","Yes","-","-","-","-","-","9.3%","14.3%","-","-","14.3%","-","-","14.3%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","14.3%","-","-","-","-"
"2016-07-18","Yes","-","-","-","14.3%","-","9.3%","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2016-07-15","Yes","-","-","-","-","-","9.3%","14.3%","-","-","14.3%","-","-","14.3%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","14.3%","-","-","-","-"
"2016-07-14","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2016-07-13","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-07-12","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","14.3%","-","-","-","9.3%","17.1%","14.3%","-","-","-","-"
"2016-07-11","No","-","-","-","14.2%","14.6%","9.2%","-","-","-","-","-","-","17.0%","-","-","-","-","-","-","-","21.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","14.2%","-","-","-","-","-"
"2016-07-08","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-07-07","No","-","-","-","14.1%","14.7%","9.2%","-","-","-","-","-","-","17.7%","-","-","-","-","-","-","-","7.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","13.9%","14.1%","-","-","-","-"
"2016-07-06","No","-","-","-","14.2%","14.3%","9.3%","-","-","-","-","-","-","17.5%","-","-","-","-","-","-","-","7.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.1%","14.2%","-","-","-","-"
"2016-07-05","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-07-01","No","-","-","-","14.2%","13.8%","9.3%","-","-","-","-","-","-","17.7%","-","-","-","-","-","-","-","7.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.2%","14.3%","-","-","-","-"
"2016-06-30","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-06-29","No","-","-","-","14.0%","14.9%","9.3%","-","-","-","-","-","-","17.7%","-","-","-","-","-","-","-","7.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","13.7%","14.0%","-","-","-","-"
"2016-06-28","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","14.3%","-","-","-","-"
"2016-06-27","Yes","-","-","-","-","42.9%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2016-06-24","Yes","-","-","-","14.3%","42.9%","7.1%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","14.3%","-","-","-","-","-"
"2016-06-23","Yes","-","-","-","-","-","-","-","-","-","14.3%","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2016-06-22","Yes","-","-","-","14.3%","14.3%","7.1%","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","14.3%","-","-","-","-","-"
"2016-06-21","Yes","-","-","-","14.3%","-","9.3%","-","-","-","14.3%","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-20","No","-","-","-","14.0%","14.5%","9.2%","-","-","-","-","-","-","18.0%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.2%","13.6%","-","-","-","-","-"
"2016-06-17","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-16","No","-","-","-","14.2%","14.1%","9.2%","-","-","-","-","-","-","18.0%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","13.7%","-","-","-","-","-"
"2016-06-15","No","-","-","-","14.3%","14.2%","9.2%","-","-","-","-","-","-","17.6%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.0%","-","-","-","-","-"
"2016-06-14","No","-","-","-","14.3%","14.2%","9.2%","-","-","-","-","-","-","17.4%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.1%","-","-","-","-","-"
"2016-06-13","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-10","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-09","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-08","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","21.4%","-","-","-","9.3%","21.4%","-","-","-","-","-"
"2016-06-07","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-06","No","-","-","-","14.2%","-","9.3%","2.8%","-","-","-","-","-","14.4%","-","-","-","-","-","-","-","21.5%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","14.2%","-","-","-","-","-"
"2016-06-03","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-02","Yes","-","-","-","-","-","9.3%","17.1%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-06-01","No","-","-","-","-","-","9.3%","14.6%","-","-","-","-","-","14.8%","-","-","-","-","-","13.9%","-","14.5%","7.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","16.7%","-","-","-","-","-"
"2016-05-31","No","-","-","-","-","-","9.3%","14.4%","-","-","-","-","-","14.8%","-","-","-","-","-","13.9%","-","14.6%","7.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","16.8%","-","-","-","-","-"
"2016-05-27","No","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-","14.8%","-","-","-","-","-","14.1%","-","14.5%","6.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","16.8%","-","-","-","-","-"
"2016-05-26","No","-","-","-","-","-","9.3%","14.4%","-","-","-","-","-","14.4%","-","-","-","-","-","14.1%","-","14.4%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2016-05-25","Yes","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","14.3%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2016-05-24","Yes","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","7.1%","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2016-05-23","Yes","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-","14.3%","0.1%","-","-","-","-","-","-","14.3%","7.1%","-","-","-","-","-","-","-","-","14.2%","-","-","-","2.9%","9.3%","14.3%","-","-","-","-","-"
"2016-05-20","Yes","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","14.3%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","2.9%","9.3%","14.3%","-","-","-","-","-"
"2016-05-19","Yes","-","-","-","-","14.3%","9.3%","14.3%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","2.9%","9.3%","14.3%","-","-","-","-","-"
"2016-05-18","Yes","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","7.1%","-","-","-","-","-","-","-","-","14.3%","-","-","-","2.9%","9.3%","14.3%","-","-","-","-","-"
"2016-05-17","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-05-16","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-05-13","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-05-12","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-05-11","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-05-10","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","14.3%","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-05-09","No","-","-","-","14.3%","14.2%","9.3%","2.9%","-","-","-","-","-","14.6%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.1%","-","-","-","-","-"
"2016-05-06","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-05-05","No","-","-","-","-","14.4%","-","-","-","-","-","-","-","42.8%","-","-","-","-","-","-","-","28.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2016-05-04","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2016-05-03","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","2.9%","9.3%","14.3%","-","-","-","-","-"
"2016-05-02","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","14.3%","-","-","-","-"
"2016-04-29","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2016-04-28","Yes","-","-","-","-","-","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-"
"2016-04-27","No","-","-","-","14.3%","-","9.4%","-","-","-","-","-","-","15.0%","-","-","-","-","-","-","-","13.9%","-","7.0%","-","-","-","-","-","-","-","-","-","-","-","-","9.4%","16.7%","14.3%","-","-","-","-"
"2016-04-26","No","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.6%","-","-","-","-","-","-","-","14.1%","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.0%","14.3%","-","-","-","-"
"2016-04-25","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","14.3%","-","-","-","-"
"2016-04-22","Yes","-","-","-","14.3%","-","9.3%","-","-","14.3%","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","14.3%","-","-","-","-"
"2016-04-21","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","14.3%","-","14.3%","-","-"
"2016-04-20","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","21.4%","14.3%","-","-","-","-"
"2016-04-19","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","21.4%","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","21.4%","-","-","-","-","-"
"2016-04-18","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-15","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-14","Yes","-","14.3%","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-13","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","14.3%","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-12","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-11","No","-","-","-","14.1%","14.4%","9.3%","-","-","-","-","-","-","17.3%","-","-","-","-","-","-","-","21.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-08","No","-","-","-","14.1%","14.4%","9.3%","-","-","-","-","-","-","17.5%","-","-","-","-","-","-","-","21.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.1%","-","-","-","-","-"
"2016-04-07","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-06","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-05","Yes","-","-","-","14.3%","14.3%","9.3%","-","-","-","-","-","-","17.1%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-04-04","Yes","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.1%","-","-","-","-","14.3%","-","-","-","-","-"
"2016-04-01","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","64.3%","-","-","-","-","21.4%","-","-","-","-","-"
"2016-03-31","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","21.4%","-","-","-","-","-"
"2016-03-30","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","64.3%","-","-","-","-","21.4%","-","-","-","-","-"
"2016-03-29","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","-","7.1%","-","-","-","9.3%","21.4%","-","-","-","-","-"
"2016-03-28","No","-","-","-","14.2%","14.2%","9.3%","2.9%","-","-","-","-","-","14.5%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.2%","-","-","-","-","-"
"2016-03-24","No","-","-","-","14.3%","14.2%","9.3%","2.8%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-03-23","Yes","-","-","-","14.3%","14.3%","9.3%","2.9%","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","14.3%","-","-","-","-","-"
"2016-03-22","Yes","-","-","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","64.3%","-","-","-","-","21.4%","-","-","-","-","-"
"2016-03-21","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.2%","64.3%","-","-","-","-","21.4%","-","-","-","-","-"
"2016-03-18","Yes","-","-","-","14.3%","-","9.3%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","21.4%","-","-","-","-","-","-","-","14.3%","-","-","7.1%","-","-","-","9.3%","21.4%","-","-","-","-","-"
"2016-03-17","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","-","64.3%","-","-","-","-","21.4%","-","-","-","-","-"
"2016-03-16","Yes","-","-","-","14.3%","-","9.3%","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","24.3%","-","-","-","-","-"
"2016-03-15","No","-","-","-","14.3%","-","9.2%","-","-","14.1%","-","-","-","14.0%","-","-","-","-","-","-","-","14.4%","-","7.3%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.4%","-","-","-","-","-"
"2016-03-14","Yes","-","-","-","14.3%","-","9.3%","-","-","14.3%","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","-","-","-","-","-"
"2016-03-11","Yes","-","-","-","14.3%","-","9.3%","-","-","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","7.1%","-","-","-","-","-","-","-","-","7.1%","-","-","-","9.3%","24.3%","14.3%","-","-","-","-"
"2016-03-10","Yes","-","-","-","14.3%","-","9.3%","-","-","-","-","-","-","14.3%","-","-","-","-","-","-","-","14.3%","-","7.1%","-","14.3%","-","-","-","-","-","-","-","-","-","-","9.3%","17.1%","-","-","-","-","-"
